# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	7235
#@/user_id	ISuthRain
dou shi 	都是	c=19 d=1.60969 t=7235
dou you 	都有	c=1 d=0.740818 t=7235
dou zai 	都在	c=2 d=0.701173 t=7235
du 	讀	c=1 d=0.0925506 t=7235
du liu 	毒瘤	c=1 d=0.0808629 t=7235
du te 	獨特	c=1 d=0.0867261 t=7235
duan 	斷	c=1 d=0.618783 t=7235
duan kou 	端口	c=4 d=0.279244 t=7235
dui 	對	c=5 d=0.781518 t=7235
dui qi 	對其	c=1 d=0.644036 t=7235
dui qi 	對齊	c=2 d=0.66034 t=7235
dui xian 	對線	c=1 d=0.722527 t=7235
dui ying 	對應	c=1 d=0.985112 t=7235
dun 	蹲	c=1 d=0.574072 t=7235
dun 	頓	c=1 d=1 t=7057
duo 	多	c=8 d=1.04665 t=7235
duo ci yi ju 	多此一舉	c=1 d=0.211189 t=7235
duo shao 	多少	c=4 d=0.630578 t=7235
duo shao ren 	多少人	c=1 d=0.67032 t=7235
e 	額	c=3 d=0.417654 t=7235
e 	餓	c=1 d=0.0229371 t=7235
e a 	額啊	c=2 d=1.0603 t=7235
e ao 	額熬	c=1 d=0.546074 t=7235
e e 	哦哦	c=1 d=0.308819 t=7235
e lie 	惡劣	c=0 d=0.0527292 t=7235
e luo si 	俄羅斯	c=1 d=0.055299 t=7235
e ren 	惡人	c=1 d=0.161218 t=7235
e xin 	噁心	c=2 d=0.0889906 t=7235
ei 	誒	c=0 d=0.0960789 t=7235
en 	嗯	c=18 d=2.00703 t=7235
en 	恩	c=1 d=0.418952 t=7235
en en 	嗯嗯	c=0 d=0.0985112 t=7235
en en en en en en en en en en 	嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯	c=1 d=0.99005 t=7235
en ma cheng shi 	嗯麻城市	c=2 d=0.701173 t=7235
en na ge 	嗯那個	c=1 d=0.637628 t=7235
er bu shi 	而不是	c=2 d=0.555449 t=7235
er guo 	而過	c=1 d=0.392586 t=7235
er jin zhi 	二進制	c=1 d=0.287941 t=7235
er qie 	而且	c=1 d=0.120032 t=7235
er shi 	而是	c=3 d=0.932394 t=7235
er yi 	而已	c=2 d=0.204948 t=7235
er yue er 	二月二	c=1 d=1 t=7231
fa 	法	c=2 d=0.609571 t=7235
fa 	發	c=6 d=1.57661 t=7235
fa bu 	發佈	c=1 d=0.0731678 t=7235
fa cai 	發財	c=10 d=1.27931 t=7235
fa e a 	發額啊	c=10 d=2.14066 t=7235
fa e a fa 	發額啊發	c=1 d=0.634448 t=7235
fa e a jiang li 	發額啊獎勵	c=1 d=0.519442 t=7235
fa gong zi 	發工資	c=0 d=0.0603506 t=7235
fa gong zi la 	發工資啦	c=1 d=0.606531 t=7235
fa hui 	發揮	c=1 d=0.17552 t=7235
fa sheng 	發生	c=2 d=0.416473 t=7235
fa song 	發送	c=1 d=0.287941 t=7235
fa xian 	發現	c=2 d=0.393073 t=7235
fan 	飯	c=1 d=0.980199 t=7235
fan bo 	反駁	c=1 d=0.960789 t=7235
fan er 	反而	c=4 d=1.29568 t=7235
fan er ao 	反而熬	c=2 d=1.06785 t=7235
fan er ji fen e lie 	反而雞粉惡劣	c=1 d=0.529935 t=7235
fan er wa li ji fen la jin lai 	反而瓦礫雞粉拉進來	c=1 d=0.278037 t=7235
fan jian 	犯賤	c=2 d=0.677057 t=7235
fan nao 	煩惱	c=1 d=0.315058 t=7235
fan qie 	番茄	c=1 d=0.00149594 t=7235
fan shen 	翻身	c=1 d=0.217621 t=7235
fan shi fu 	飯師傅	c=1 d=0.763379 t=7235
fan wen ju 	反問句	c=1 d=0.0131675 t=7235
fan yi 	翻譯	c=4 d=0.726907 t=7235
fan zheng 	反正	c=2 d=0.453918 t=7235
fang 	房	c=1 d=0.0163259 t=7235
fang 	放	c=4 d=1.37813 t=7235
fang 	防	c=1 d=0.680451 t=7235
fang an 	方案	c=2 d=0.444858 t=7235
fang bian 	方便	c=2 d=0.404922 t=7235
fang dao 	防盜	c=1 d=0.0291588 t=7235
fang er hao 	方爾灝	c=1 d=0.548812 t=7235
fang fa 	方法	c=3 d=0.849362 t=7235
fang hua 	放話	c=1 d=0.0220377 t=7235
fang pi 	放屁	c=1 d=0.171187 t=7235
fang shi 	方式	c=2 d=0.662823 t=7235
fang wen 	訪問	c=1 d=0.0958472 t=7235
fang zai 	放在	c=3 d=0.466066 t=7235
fang zhi 	防止	c=1 d=0.100259 t=7235
fei 	廢	c=3 d=0.771129 t=7235
fei 	非	c=7 d=1.99172 t=7235
fei chang 	非常	c=1 d=0.198891 t=7235
fei le 	廢了	c=1 d=0.447088 t=7235
fei wu 	廢物	c=1 d=0.467666 t=7235
fei zhi 	廢紙	c=1 d=0.119433 t=7235
fen 	份	c=3 d=0.353455 t=7235
fen 	分	c=3 d=0.418613 t=7235
fen hong se 	粉紅色	c=1 d=0.585669 t=7235
fen pei 	分配	c=1 d=0.701173 t=7235
